"Date","Location","Outcome","Hits","Doubles","HomeRuns","StrikeOuts"
"5-Apr","Home","Lose",4,2,0,6
"7-Apr","Home","Lose",6,1,0,3
"8-Apr","Home","Win",11,3,1,6
"10-Apr","Away","Lose",7,2,1,3
"11-Apr","Away","Win",15,3,1,6
"12-Apr","Away","Win",13,3,2,4
"13-Apr","Away","Win",10,3,3,7
"16-Apr","Away","Lose",5,1,0,3
"17-Apr","Home","Lose",14,3,1,5
"18-Apr","Home","Lose",8,2,3,7
"19-Apr","Home","Win",9,1,3,5
"21-Apr","Home","Win",13,4,1,8
"22-Apr","Home","Lose",8,0,1,4
"23-Apr","Home","Lose",2,0,1,4
"24-Apr","Away","Win",8,2,2,12
"25-Apr","Away","Win",9,0,2,8
"26-Apr","Away","Win",12,2,0,7
"27-Apr","Home","Win",14,5,2,7
"28-Apr","Home","Win",11,0,4,5
"29-Apr","Home","Lose",7,0,1,8
"1-May","Home","Lose",8,0,1,4
"2-May","Home","Win",9,3,1,6
"4-May","Away","Win",8,1,2,11
"5-May","Away","Win",15,4,2,7
"6-May","Away","Lose",3,2,0,11
"7-May","Away","Lose",10,2,2,0
"8-May","Home","Win",8,3,3,7
"9-May","Home","Lose",5,2,2,8
"10-May","Home","Lose",6,3,0,8
"12-May","Home","Win",6,1,0,6
"13-May","Home","Lose",5,2,2,9
"14-May","Home","Lose",5,2,0,13
"15-May","Away","Win",16,1,1,9
"May 16 (1)","Away","Win",14,2,3,5
"May 16 (2)","Away","Win",9,3,2,3
"17-May","Away","Win",10,3,0,6
"19-May","Away","Win",7,2,1,5
"20-May","Away","Lose",4,3,1,10
"21-May","Away","Win",14,5,4,11
"22-May","Away","Win",14,0,4,9
"23-May","Away","Lose",6,1,2,5
"24-May","Away","Win",11,3,0,7
"25-May","Home","Lose",6,2,2,8
"26-May","Home","Win",10,5,0,4
"27-May","Home","Lose",8,2,2,7
"29-May","Home","Win",16,6,0,5
"30-May","Home","Win",10,4,2,5
"31-May","Home","Win",7,1,1,10
"1-Jun","Away","Win",12,4,2,9
"2-Jun","Away","Win",11,2,3,6
"3-Jun","Away","Win",10,2,1,3
"4-Jun","Away","Win",7,3,0,7
"5-Jun","Away","Lose",11,2,0,8
"6-Jun","Away","Lose",6,1,0,8
"7-Jun","Away","Win",9,1,3,6
"9-Jun","Away","Lose",10,1,4,4
"10-Jun","Away","Win",9,0,2,3
"11-Jun","Away","Win",9,2,1,9
"12-Jun","Home","Lose",5,2,1,20
"13-Jun","Home","Lose",13,2,3,8
"14-Jun","Home","Win",14,3,1,9
"16-Jun","Home","Lose",8,1,1,10
"17-Jun","Home","Lose",6,0,1,12
"18-Jun","Home","Lose",12,1,4,9
"19-Jun","Home","Lose",6,3,0,7
"20-Jun","Home","Lose",8,2,1,4
"21-Jun","Home","Lose",4,1,1,4
"23-Jun","Away","Win",10,2,2,7
"24-Jun","Away","Lose",4,0,1,7
"25-Jun","Away","Lose",8,2,0,10
"26-Jun","Away","Lose",3,0,0,8
