Gender,Age,Age25,Race,Offense,Recid,Type,Days
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,16
M,55 and Older,Over 25,White-NonHispanic,Felony,Yes,Tech,19
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,22
M,55 and Older,Over 25,White-NonHispanic,Felony,Yes,Tech,25
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,26
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,27
M,45-54,Over 25,White-NonHispanic,Misdemeanor,Yes,New,28
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,41
M,45-54,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,44
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,46
M,35-44,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,48
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,New,49
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,49
F,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,51
M,45-54,Over 25,Black-NonHispanic,Felony,Yes,Tech,51
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,53
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,53
F,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,54
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,Tech,54
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,55
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,55
M,25-34,Over 25,American Indian or Alaska Native-NonHispanic,Felony,Yes,New,57
M,45-54,Over 25,Black-NonHispanic,Felony,Yes,Tech,57
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,58
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,58
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,60
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,62
F,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,62
F,45-54,Over 25,Black-NonHispanic,Misdemeanor,Yes,Tech,63
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,64
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,65
F,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,66
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,66
M,25-34,Over 25,White-Hispanic,Felony,Yes,Tech,68
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,70
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,71
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,71
M,Under 25,Under 25,Black-NonHispanic,Felony,Yes,Tech,75
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,76
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,78
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,79
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,80
F,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,80
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,80
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,83
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,83
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,84
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,85
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,Tech,86
M,45-54,Over 25,White-NonHispanic,Misdemeanor,Yes,New,88
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,89
M,45-54,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,90
M,25-34,Over 25,Black-NonHispanic,Misdemeanor,Yes,Tech,90
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,92
M,35-44,Over 25,White-NonHispanic,Misdemeanor,Yes,New,94
M,Under 25,Under 25,American Indian or Alaska Native-NonHispanic,Misdemeanor,Yes,Tech,94
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,95
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,96
F,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,98
M,35-44,Over 25,White-NonHispanic,Misdemeanor,Yes,New,100
M,45-54,Over 25,White,Felony,Yes,Tech,100
F,35-44,Over 25,White-NonHispanic,Felony,Yes,New,101
M,45-54,Over 25,Black-NonHispanic,Misdemeanor,Yes,New,103
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,103
M,25-34,Over 25,American Indian or Alaska Native-NonHispanic,Felony,Yes,Tech,103
M,35-44,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,105
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,108
M,35-44,Over 25,American Indian or Alaska Native-NonHispanic,Felony,Yes,Tech,108
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,109
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,New,110
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,110
F,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,112
M,55 and Older,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,112
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,113
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,114
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,115
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,115
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,116
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,116
M,25-34,Over 25,White-Hispanic,Felony,Yes,Tech,117
F,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,119
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,120
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,121
M,55 and Older,Over 25,White-NonHispanic,Felony,Yes,New,122
M,25-34,Over 25,White-Hispanic,Felony,Yes,Tech,124
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,127
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,127
M,55 and Older,Over 25,White-NonHispanic,Felony,Yes,New,129
M,35-44,Over 25,White-NonHispanic,Misdemeanor,Yes,New,129
M,35-44,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,131
M,45-54,Over 25,White-NonHispanic,Felony,Yes,New,132
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,Tech,132
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,New,133
M,45-54,Over 25,Black-NonHispanic,Felony,Yes,Tech,133
M,45-54,Over 25,White-NonHispanic,Felony,Yes,Tech,134
M,55 and Older,Over 25,White-NonHispanic,Felony,Yes,Tech,134
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,Tech,134
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,135
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,137
M,25-34,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,138
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,139
M,25-34,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,139
M,25-34,Over 25,White-NonHispanic,Felony,Yes,New,140
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,140
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,142
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,142
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,Tech,143
F,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,144
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,144
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,144
M,25-34,Over 25,White-NonHispanic,Misdemeanor,Yes,New,145
M,45-54,Over 25,Black-NonHispanic,Misdemeanor,Yes,New,145
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,145
M,45-54,Over 25,American Indian or Alaska Native-NonHispanic,Misdemeanor,Yes,New,146
M,25-34,Over 25,Asian or Pacific Islander-NonHispanic,Felony,Yes,Tech,146
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,147
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,147
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,147
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,148
M,25-34,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,148
M,25-34,Over 25,Black-NonHispanic,Misdemeanor,Yes,New,149
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,Tech,149
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,149
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,150
F,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,151
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,Yes,New,152
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,155
F,25-34,Over 25,White-NonHispanic,Misdemeanor,Yes,Tech,156
M,Under 25,Under 25,White-NonHispanic,Felony,Yes,New,157
F,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,159
F,Under 25,Under 25,White-NonHispanic,Felony,Yes,Tech,159
M,25-34,Over 25,White-NonHispanic,Felony,Yes,Tech,160
M,25-34,Over 25,Black-NonHispanic,Felony,Yes,Tech,160
M,35-44,Over 25,White-NonHispanic,Felony,Yes,Tech,160
M,35-44,Over 25,Black-NonHispanic,Felony,Yes,Tech,162
F,Under 25,Under 25,Black-NonHispanic,Felony,Yes,Tech,162
M,55 and Older,Over 25,White-NonHispanic,Felony,Yes,Tech,163
M,25-34,Over 25,Asian or Pacific Islander-NonHispanic,Felony,Yes,Tech,226
M,35-44,Over 25,White-NonHispanic,Felony,Yes,New,164
