id,tipo_zona,frente_lote,calle,forma_lote,nombre_zona,tipo_edificio,estilo,calidad_gral,condicion_gral,año_construccion,calidad_exteriores,material_exteriores,condicion_exteriores,calidad_sotano,condicion_sotano,tipo_sotano,calefaccion,calidad_calefaccion,aire_acondicionado,baños_completos,baños_medios,recamaras_sup,calidad_cocina,cuartos_sup,tipo_garage,terminado_garage,num_coches,calidad_garage,condicion_garage,año_venta,mes_venta,tipo_venta,condicion_venta,lat,long,area_sotano_m2,area_1er_piso_m2,area_2o_piso_m2,area_habitable_sup_m2,area_garage_m2,area_lote_m2,precio_miles,valor_misc_miles,precio_m2_miles,precio_m2
333,RL,85,Pave,IR1,NridgHt,1Fam,1Story,8,5,2003,Gd,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,0,3,Gd,7,Attchd,RFn,3,TA,TA,2009,10,WD,Normal,42.060356,-93.657107,297.847018,151.338987,0,151.338987,81.75464,989.881465,284,0,1.8765818750987147,1876.5818750987146
811,RL,78,Pave,Reg,NWAmes,1Fam,1Story,6,6,1974,TA,HdBoard,TA,TA,TA,ALQ,GasA,Fa,Y,1,1,3,Gd,5,Attchd,RFn,2,TA,TA,2006,1,WD,Normal,42.051321,-93.633798,96.61912,121.610027,0,121.610027,44.965052,942.03642,181,0,1.488364113265101,1488.3641132651012
858,RL,65,Pave,Reg,Gilbert,1Fam,2Story,6,5,1994,TA,HdBoard,TA,Gd,TA,Unf,GasA,Gd,Y,2,1,3,TA,6,Attchd,Fin,2,TA,TA,2009,3,WD,Normal,42.027885,-93.615692,65.217906,65.217906,72.371437,137.58934299999999,31.865728999999998,754.836875,174,0,1.2646328284306148,1264.6328284306148
557,RL,69,Pave,IR1,NAmes,1Fam,1Story,5,5,1957,TA,Wd Sdng,TA,TA,TA,Rec,GasA,TA,Y,1,0,2,TA,6,Attchd,Fin,1,TA,TA,2006,5,WD,Normal,42.042966,-93.613556,101.450076,101.450076,0,101.450076,27.777997,1379.60955,141,0,1.389846174191136,1389.846174191136
1192,FV,24,Pave,Reg,Somerst,Twnhs,2Story,8,5,1999,Gd,MetalSd,TA,Gd,TA,Unf,GasA,Ex,Y,2,1,2,Gd,5,Detchd,Unf,2,TA,TA,2007,11,WD,Normal,42.052191,-93.643479,72.092728,70.977892,62.895331,133.873223,45.708276,245.728435,174,0,1.2997371401150177,1299.7371401150178
389,RL,93,Pave,IR1,CollgCr,1Fam,1Story,7,5,1999,Gd,VinylSd,TA,Gd,TA,Unf,GasA,Ex,Y,2,0,3,Gd,6,Attchd,RFn,2,TA,TA,2008,7,WD,Normal,42.021051,-93.685643,136.381604,137.403537,0,137.403537,53.605031,871.615946,191,0,1.390066108705775,1390.0661087057752
779,RH,60,Pave,Reg,SawyerW,Duplex,1Story,5,5,1977,TA,Plywood,TA,NA,NA,NA,GasA,TA,Y,2,0,4,TA,10,Detchd,Unf,2,TA,TA,2007,10,WD,Normal,42.03554,-93.685131,0,187.66406,0,187.66406,58.52889,780.3851999999999,144,0,0.7673285977080534,767.3285977080534
1287,RL,NA,Pave,Reg,NWAmes,1Fam,1Story,6,5,1963,TA,HdBoard,TA,TA,TA,ALQ,GasA,TA,Y,1,1,3,TA,6,Attchd,Unf,2,TA,TA,2010,6,WD,Normal,42.051321,-93.633798,123.375184,123.375184,0,123.375184,49.052784,909.52037,143,0,1.159066153854733,1159.066153854733
445,RL,70,Pave,Reg,CollgCr,1Fam,2Story,7,5,1994,Gd,VinylSd,Gd,Gd,TA,GLQ,GasA,Ex,Y,2,1,4,Gd,8,Attchd,Unf,2,TA,TA,2008,7,WD,Normal,42.021051,-93.685643,85.00624499999999,86.678499,90.580425,177.258924,45.801179,812.90125,210,0,1.1847076314194482,1184.7076314194483
65,RL,NA,Pave,Reg,CollgCr,1Fam,2Story,7,5,1997,TA,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,1,3,Gd,8,Attchd,RFn,2,TA,TA,2009,2,WD,Normal,42.021051,-93.685643,98.198471,98.198471,90.766231,188.964702,59.922435,870.965625,219.5,0,1.1615926026226846,1161.5926026226846
611,RL,NA,Pave,Reg,CollgCr,1Fam,2Story,9,5,2000,Gd,VinylSd,TA,Ex,TA,GLQ,GasA,Ex,Y,2,1,3,Ex,8,Attchd,Fin,3,TA,TA,2009,5,WD,Normal,42.021051,-93.685643,133.78032,137.124828,62.895331,200.020159,68.376608,1026.57815,313,0,1.5648422717232215,1564.8422717232215
787,RM,60,Pave,Reg,OldTown,1Fam,1.5Fin,5,6,1915,TA,MetalSd,Gd,Fa,TA,LwQ,GasA,TA,Y,2,0,4,TA,7,Detchd,Unf,1,TA,TA,2010,6,WD,Normal,42.028863,-93.615497,63.731457999999996,89.744298,63.731457999999996,153.475756,38.647648,1003.3524,139,1.2,0.905680503701184,905.6805037011841
971,RL,60,Pave,Reg,NAmes,1Fam,1.5Fin,4,4,1949,TA,AsbShng,TA,TA,TA,Unf,GasA,TA,N,1,1,4,TA,6,NA,NA,0,NA,NA,2006,12,WD,Abnorml,42.042966,-93.613556,66.89016,66.89016,43.850216,110.740376,0,1003.3524,135,0,1.2190675603268677,1219.0675603268678
1224,RL,89,Pave,Reg,NAmes,1Fam,1Story,5,3,1951,TA,Wd Sdng,TA,TA,Fa,LwQ,GasA,TA,N,2,0,4,TA,7,Detchd,Unf,2,TA,TA,2006,10,WD,Normal,42.042966,-93.613556,198.440808,198.440808,0,198.440808,49.052784,992.20404,137.9,0,0.6949175494185652,694.9175494185652
724,RL,60,Pave,Reg,Edwards,1Fam,1.5Fin,4,6,1954,TA,MetalSd,TA,TA,TA,Unf,GasA,Ex,Y,2,0,4,TA,7,Detchd,Unf,1,TA,TA,2008,5,WD,Normal,42.0228,-93.66304,87.421723,92.624291,43.943119,136.56741,50.910844,759.203316,135,0,0.988522810822875,988.5228108228749
541,RL,85,Pave,Reg,Timber,1Fam,1Story,9,5,2006,Ex,VinylSd,TA,Ex,TA,GLQ,GasA,Ex,Y,2,0,2,Ex,8,Attchd,Fin,3,TA,TA,2009,3,WD,Normal,41.998132,-93.648335,170.755714,170.755714,0,170.755714,71.070795,1356.476703,315,0,1.8447406099686947,1844.7406099686948
413,FV,NA,Pave,IR2,Somerst,1Fam,1Story,7,5,2009,Ex,MetalSd,TA,Ex,TA,GLQ,GasA,Ex,Y,2,1,2,Gd,7,Attchd,Fin,2,TA,TA,2010,6,New,Partial,42.052191,-93.643479,136.56741,137.310634,0,137.310634,44.965052,409.051909,222,0,1.6167720848190097,1616.7720848190097
882,RL,44,Pave,IR1,Timber,1Fam,1.5Fin,7,5,1990,Gd,HdBoard,Gd,Gd,TA,LwQ,GasA,Ex,Y,2,1,3,Gd,7,Attchd,RFn,2,TA,TA,2007,4,WD,Normal,41.998132,-93.648335,107.395868,110.275861,49.23859,159.514451,37.1612,1278.159474,187.5,0,1.1754420920772877,1175.4420920772877
447,RL,137,Pave,IR1,NAmes,1Fam,1Story,6,6,1966,Gd,BrkFace,TA,TA,TA,ALQ,GasA,Ex,Y,2,1,2,Gd,6,Attchd,Fin,2,TA,TA,2010,6,WD,Normal,42.042966,-93.613556,140.933851,175.400864,0,175.400864,53.697934,1532.156276,190,0,1.0832329765490778,1083.2329765490779
530,RL,NA,Pave,IR1,Crawfor,1Fam,1Story,6,3,1957,Gd,Wd Sdng,TA,TA,TA,Rec,GasA,TA,Y,3,0,4,TA,9,Attchd,RFn,2,TA,TA,2007,3,WD,Alloca,42.025949,-93.620215,189.057605,233.651045,0,233.651045,44.965052,3034.955204,200.624,0,0.8586479893552369,858.6479893552369
637,RM,51,Pave,Reg,BrkSide,1Fam,1Story,2,3,1936,Fa,AsbShng,Fa,TA,Fa,Unf,Grav,Fa,N,1,0,1,Fa,4,NA,NA,0,NA,NA,2009,1,ConLw,Normal,42.03359,-93.627552,24.526392,74.3224,0,74.3224,0,568.56636,60,0,0.8072936288386812,807.2936288386811
274,RL,80,Pave,Reg,NAmes,1Fam,1Story,6,6,1958,TA,Wd Sdng,TA,TA,TA,Rec,GasA,Gd,Y,2,0,3,TA,6,Attchd,RFn,1,TA,TA,2009,4,WD,Normal,42.042966,-93.613556,115.19972,151.617696,0,151.617696,31.401214,891.8688,139,0,0.9167795294818357,916.7795294818358
