ubic_geo,entidad,desc_ent,municipio,des_mun
0,0,No aplica,0,No aplica
1000,1,Aguascalientes,1000,No identificado
1001,1,Aguascalientes,1001,Aguascalientes
1002,1,Aguascalientes,1002,Asientos
1003,1,Aguascalientes,1003,Calvillo
1004,1,Aguascalientes,1004,Cosío
1005,1,Aguascalientes,1005,Jesús María
1006,1,Aguascalientes,1006,Pabellón de Arteaga
1007,1,Aguascalientes,1007,Rincón de Romos
1008,1,Aguascalientes,1008,San José de Gracia
1009,1,Aguascalientes,1009,Tepezalá
1010,1,Aguascalientes,1010,El Llano
1011,1,Aguascalientes,1011,San Francisco de los Romo
1998,1,Aguascalientes,1998,No especificado
2000,2,Baja California,2000,No identificado
2001,2,Baja California,2001,Ensenada
2002,2,Baja California,2002,Mexicali
2003,2,Baja California,2003,Tecate
2004,2,Baja California,2004,Tijuana
2005,2,Baja California,2005,Playas de Rosarito
2998,2,Baja California,2998,No especificado
3000,3,Baja California Sur,3000,No identificado
3001,3,Baja California Sur,3001,Comondú
3002,3,Baja California Sur,3002,Mulegé
3003,3,Baja California Sur,3003,La Paz
3008,3,Baja California Sur,3008,Los Cabos
3009,3,Baja California Sur,3009,Loreto
3998,3,Baja California Sur,3998,No especificado
4000,4,Campeche,4000,No identificado
4001,4,Campeche,4001,Calkiní
4002,4,Campeche,4002,Campeche
4003,4,Campeche,4003,Carmen
4004,4,Campeche,4004,Champotón
4005,4,Campeche,4005,Hecelchakán
4006,4,Campeche,4006,Hopelchén
4007,4,Campeche,4007,Palizada
4008,4,Campeche,4008,Tenabo
4009,4,Campeche,4009,Escárcega
4010,4,Campeche,4010,Calakmul
4011,4,Campeche,4011,Candelaria
4998,4,Campeche,4998,No especificado
5000,5,Coahuila de Zaragoza,5000,No identificado
5001,5,Coahuila de Zaragoza,5001,Abasolo
5002,5,Coahuila de Zaragoza,5002,Acuña
5003,5,Coahuila de Zaragoza,5003,Allende
5004,5,Coahuila de Zaragoza,5004,Arteaga
5005,5,Coahuila de Zaragoza,5005,Candela
5006,5,Coahuila de Zaragoza,5006,Castaños
5007,5,Coahuila de Zaragoza,5007,Cuatro Ciénegas
5008,5,Coahuila de Zaragoza,5008,Escobedo
5009,5,Coahuila de Zaragoza,5009,Francisco I. Madero
5010,5,Coahuila de Zaragoza,5010,Frontera
5011,5,Coahuila de Zaragoza,5011,General Cepeda
5012,5,Coahuila de Zaragoza,5012,Guerrero
5013,5,Coahuila de Zaragoza,5013,Hidalgo
5014,5,Coahuila de Zaragoza,5014,Jiménez
5015,5,Coahuila de Zaragoza,5015,Juárez
5016,5,Coahuila de Zaragoza,5016,Lamadrid
5017,5,Coahuila de Zaragoza,5017,Matamoros
5018,5,Coahuila de Zaragoza,5018,Monclova
5019,5,Coahuila de Zaragoza,5019,Morelos
5020,5,Coahuila de Zaragoza,5020,Múzquiz
5021,5,Coahuila de Zaragoza,5021,Nadadores
5022,5,Coahuila de Zaragoza,5022,Nava
5023,5,Coahuila de Zaragoza,5023,Ocampo
5024,5,Coahuila de Zaragoza,5024,Parras
5025,5,Coahuila de Zaragoza,5025,Piedras Negras
5026,5,Coahuila de Zaragoza,5026,Progreso
5027,5,Coahuila de Zaragoza,5027,Ramos Arizpe
5028,5,Coahuila de Zaragoza,5028,Sabinas
5029,5,Coahuila de Zaragoza,5029,Sacramento
5030,5,Coahuila de Zaragoza,5030,Saltillo
5031,5,Coahuila de Zaragoza,5031,San Buenaventura
5032,5,Coahuila de Zaragoza,5032,San Juan de Sabinas
5033,5,Coahuila de Zaragoza,5033,San Pedro
5034,5,Coahuila de Zaragoza,5034,Sierra Mojada
5035,5,Coahuila de Zaragoza,5035,Torreón
5036,5,Coahuila de Zaragoza,5036,Viesca
5037,5,Coahuila de Zaragoza,5037,Villa Unión
5038,5,Coahuila de Zaragoza,5038,Zaragoza
5998,5,Coahuila de Zaragoza,5998,No especificado
5999,5,Coahuila de Zaragoza,5999,Resto de los municipios
6000,6,Colima,6000,No identificado
6001,6,Colima,6001,Armería
