estado,clave,tipo,mate_6,num_evaluados_total,marginacion
AGUASCALIENTES,01DPR0001V,GENERAL,529.57,31,MUY BAJO
AGUASCALIENTES,01DPR0002U,GENERAL,499.85,27,MUY BAJO
AGUASCALIENTES,01DPR0003T,GENERAL,504.32,65,MUY BAJO
AGUASCALIENTES,01DPR0004S,GENERAL,463.94,57,BAJO
AGUASCALIENTES,01DPR0005R,GENERAL,607.4,84,MUY BAJO
AGUASCALIENTES,01DPR0006Q,GENERAL,580.81,37,MUY BAJO
AGUASCALIENTES,01DPR0007P,GENERAL,581.26,55,MUY BAJO
AGUASCALIENTES,01DPR0008O,GENERAL,570.65,41,MUY BAJO
AGUASCALIENTES,01DPR0009N,GENERAL,547.72,62,MUY BAJO
AGUASCALIENTES,01DPR0010C,GENERAL,564.11,29,MUY BAJO
AGUASCALIENTES,01DPR0011B,GENERAL,529.84,20,MUY BAJO
AGUASCALIENTES,01DPR0012A,GENERAL,542.21,22,MUY BAJO
AGUASCALIENTES,01DPR0013Z,GENERAL,568.94,94,MUY BAJO
AGUASCALIENTES,01DPR0014Z,GENERAL,584.33,39,MUY BAJO
AGUASCALIENTES,01DPR0015Y,GENERAL,514.89,59,MUY BAJO
AGUASCALIENTES,01DPR0016X,GENERAL,457.72,24,MUY BAJO
AGUASCALIENTES,01DPR0017W,GENERAL,481.9,38,MUY BAJO
AGUASCALIENTES,01DPR0018V,GENERAL,442.8,67,MUY BAJO
AGUASCALIENTES,01DPR0019U,GENERAL,455.78,52,MUY BAJO
AGUASCALIENTES,01DPR0020J,GENERAL,582.42,67,MUY BAJO
AGUASCALIENTES,01DPR0021I,GENERAL,501.99,54,MUY BAJO
AGUASCALIENTES,01DPR0022H,GENERAL,452.83,45,BAJO
AGUASCALIENTES,01DPR0023G,GENERAL,543.87,58,MUY BAJO
AGUASCALIENTES,01DPR0024F,GENERAL,576.97,59,MUY BAJO
AGUASCALIENTES,01DPR0025E,GENERAL,527.37,62,MUY BAJO
AGUASCALIENTES,01DPR0026D,GENERAL,569.03,77,MUY BAJO
AGUASCALIENTES,01DPR0027C,GENERAL,477.7,52,MUY BAJO
AGUASCALIENTES,01DPR0028B,GENERAL,741.4,25,MUY BAJO
AGUASCALIENTES,01DPR0031P,GENERAL,582.31,70,MUY BAJO
AGUASCALIENTES,01DPR0032O,GENERAL,525.99,67,MUY BAJO
AGUASCALIENTES,01DPR0033N,GENERAL,596.52,62,MUY BAJO
AGUASCALIENTES,01DPR0034M,GENERAL,505.92,40,MUY BAJO
AGUASCALIENTES,01DPR0036K,GENERAL,634.36,71,MUY BAJO
AGUASCALIENTES,01DPR0037J,GENERAL,499.92,51,MUY BAJO
AGUASCALIENTES,01DPR0038I,GENERAL,549.4,56,MUY BAJO
AGUASCALIENTES,01DPR0039H,GENERAL,556.32,69,MUY BAJO
AGUASCALIENTES,01DPR0040X,GENERAL,649.48,6,ALTO
AGUASCALIENTES,01DPR0041W,GENERAL,483.01,20,BAJO
AGUASCALIENTES,01DPR0042V,GENERAL,434.33,6,MUY BAJO
AGUASCALIENTES,01DPR0044T,GENERAL,497.19,2,BAJO
AGUASCALIENTES,01DPR0045S,GENERAL,532.68,57,MUY BAJO
AGUASCALIENTES,01DPR0046R,GENERAL,523.89,69,MUY BAJO
AGUASCALIENTES,01DPR0047Q,GENERAL,516.22,67,MUY BAJO
AGUASCALIENTES,01DPR0048P,GENERAL,533.02,64,MUY BAJO
AGUASCALIENTES,01DPR0049O,GENERAL,466.04,11,MUY BAJO
AGUASCALIENTES,01DPR0050D,GENERAL,565.14,31,MUY BAJO
AGUASCALIENTES,01DPR0051C,GENERAL,605.53,81,MUY BAJO
AGUASCALIENTES,01DPR0052B,GENERAL,454.09,68,MUY BAJO
AGUASCALIENTES,01DPR0054Z,GENERAL,525.7,25,MUY BAJO
AGUASCALIENTES,01DPR0055Z,GENERAL,500.53,58,MUY BAJO
AGUASCALIENTES,01DPR0057X,GENERAL,659.03,30,MUY BAJO
AGUASCALIENTES,01DPR0058W,GENERAL,458.65,29,BAJO
AGUASCALIENTES,01DPR0059V,GENERAL,631.62,35,MUY BAJO
AGUASCALIENTES,01DPR0060K,GENERAL,588.78,23,MUY BAJO
AGUASCALIENTES,01DPR0061J,GENERAL,580.18,18,MUY BAJO
AGUASCALIENTES,01DPR0064G,GENERAL,700.88,11,MUY BAJO
AGUASCALIENTES,01DPR0065F,GENERAL,512.17,59,MUY BAJO
AGUASCALIENTES,01DPR0066E,GENERAL,532.81,37,MUY BAJO
AGUASCALIENTES,01DPR0067D,GENERAL,540.36,34,MUY BAJO
AGUASCALIENTES,01DPR0068C,GENERAL,496.44,73,MUY BAJO
AGUASCALIENTES,01DPR0069B,GENERAL,429.58,8,BAJO
AGUASCALIENTES,01DPR0070R,GENERAL,552.87,8,MEDIO
AGUASCALIENTES,01DPR0071Q,GENERAL,599.06,40,MUY BAJO
AGUASCALIENTES,01DPR0072P,GENERAL,508.11,80,MUY BAJO
AGUASCALIENTES,01DPR0073O,GENERAL,602.16,63,MUY BAJO
AGUASCALIENTES,01DPR0074N,GENERAL,575.99,65,MUY BAJO
AGUASCALIENTES,01DPR0075M,GENERAL,478.46,46,MUY BAJO
AGUASCALIENTES,01DPR0076L,GENERAL,541.83,76,MUY BAJO
AGUASCALIENTES,01DPR0078J,GENERAL,494.01,34,MUY BAJO
AGUASCALIENTES,01DPR0079I,GENERAL,580.83,55,MUY BAJO
AGUASCALIENTES,01DPR0080Y,GENERAL,508.19,34,MUY BAJO
AGUASCALIENTES,01DPR0081X,GENERAL,462.8,23,MUY BAJO
