id,cve_ent,turno,tipo,esp_3,esp_6,n_eval_3,n_eval_6
38570,15,MATUTINO,INDêGENA,550,483,13,19
38571,15,MATUTINO,INDêGENA,485,490,17,18
38572,15,MATUTINO,INDêGENA,462,385,9,9
38573,15,MATUTINO,INDêGENA,646,613,33,26
38574,15,MATUTINO,INDêGENA,508,452,26,35
38575,15,MATUTINO,INDêGENA,502,500,10,13
38576,15,MATUTINO,INDêGENA,570,454,65,49
38577,15,MATUTINO,INDêGENA,441,427,82,78
38578,15,MATUTINO,INDêGENA,597,582,132,110
38579,15,MATUTINO,INDêGENA,648,614,16,18
38580,15,MATUTINO,INDêGENA,535,443,16,9
38581,15,MATUTINO,INDêGENA,430,562,6,2
38582,15,MATUTINO,INDêGENA,469,449,10,12
38583,15,MATUTINO,INDêGENA,501,498,27,34
38584,15,MATUTINO,INDêGENA,612,532,10,9
38585,15,MATUTINO,INDêGENA,427,369,1,6
38586,15,MATUTINO,INDêGENA,516,419,7,7
38587,15,MATUTINO,INDêGENA,503,568,25,28
38588,15,MATUTINO,INDêGENA,585,456,9,12
38589,15,MATUTINO,INDêGENA,599,463,9,4
38590,15,MATUTINO,INDêGENA,536,465,6,7
38591,15,MATUTINO,INDêGENA,500,676,47,29
38592,15,MATUTINO,INDêGENA,513,509,24,16
38593,15,MATUTINO,INDêGENA,580,419,12,11
38594,15,MATUTINO,INDêGENA,612,597,16,16
38595,15,MATUTINO,INDêGENA,488,479,14,23
38596,15,MATUTINO,INDêGENA,512,485,16,13
38597,15,MATUTINO,INDêGENA,549,431,7,9
38598,15,MATUTINO,INDêGENA,490,510,23,20
38599,15,MATUTINO,INDêGENA,504,466,46,41
38600,15,MATUTINO,INDêGENA,697,473,8,6
38601,15,MATUTINO,INDêGENA,675,481,24,19
38602,15,MATUTINO,INDêGENA,571,503,6,2
38603,15,MATUTINO,INDêGENA,552,512,28,25
38604,15,MATUTINO,INDêGENA,464,514,25,23
38605,15,MATUTINO,INDêGENA,506,511,22,26
38606,15,MATUTINO,INDêGENA,674,476,12,26
38607,15,MATUTINO,INDêGENA,535,538,10,6
38608,15,MATUTINO,INDêGENA,716,522,2,5
38609,15,MATUTINO,INDêGENA,564,543,36,42
38610,15,MATUTINO,INDêGENA,440,561,17,20
38611,15,MATUTINO,INDêGENA,653,629,54,57
38612,15,MATUTINO,INDêGENA,457,457,6,9
38613,15,MATUTINO,INDêGENA,519,558,21,19
38614,15,MATUTINO,INDêGENA,637,494,47,56
38615,15,MATUTINO,INDêGENA,552,595,5,10
38617,15,MATUTINO,INDêGENA,477,541,11,17
38618,15,MATUTINO,INDêGENA,620,516,30,22
38619,15,MATUTINO,INDêGENA,404,409,23,22
38621,15,MATUTINO,INDêGENA,555,427,13,14
38622,15,MATUTINO,INDêGENA,462,398,2,1
38623,15,MATUTINO,INDêGENA,465,546,5,7
38624,15,MATUTINO,INDêGENA,626,535,11,9
38625,15,MATUTINO,INDêGENA,460,597,4,4
38626,15,MATUTINO,INDêGENA,552,521,21,20
38627,15,MATUTINO,INDêGENA,602,493,5,9
38628,15,MATUTINO,INDêGENA,671,478,3,8
38629,15,MATUTINO,INDêGENA,549,482,37,28
38630,15,MATUTINO,INDêGENA,468,409,9,6
38631,15,MATUTINO,INDêGENA,454,401,10,9
38632,15,MATUTINO,INDêGENA,525,499,9,7
38633,15,MATUTINO,INDêGENA,541,580,10,17
38634,15,MATUTINO,INDêGENA,676,443,11,10
38635,15,MATUTINO,INDêGENA,541,478,6,13
38636,15,MATUTINO,INDêGENA,473,394,7,3
38637,15,MATUTINO,INDêGENA,554,484,32,36
38638,15,MATUTINO,INDêGENA,539,500,6,8
38639,15,MATUTINO,INDêGENA,533,532,32,30
38640,15,MATUTINO,INDêGENA,529,522,13,8
38641,15,MATUTINO,INDêGENA,411,452,4,5
38642,15,MATUTINO,INDêGENA,616,635,12,22
38643,15,MATUTINO,INDêGENA,674,577,43,47
38644,15,MATUTINO,INDêGENA,483,450,43,42
38645,15,MATUTINO,INDêGENA,528,484,20,23
38646,15,MATUTINO,INDêGENA,478,477,8,11
38647,15,MATUTINO,INDêGENA,584,478,28,25
38649,15,MATUTINO,INDêGENA,568,459,3,4
38650,15,MATUTINO,INDêGENA,574,459,22,21
38651,15,MATUTINO,INDêGENA,523,407,53,47
38652,15,MATUTINO,INDêGENA,581,656,3,5
38653,15,MATUTINO,INDêGENA,537,429,6,6
38654,15,MATUTINO,INDêGENA,602,469,4,4
38655,15,MATUTINO,INDêGENA,481,471,22,23
38656,15,MATUTINO,INDêGENA,605,552,7,6
38657,15,MATUTINO,INDêGENA,510,558,21,14
38658,15,MATUTINO,INDêGENA,547,500,23,40
38659,15,MATUTINO,INDêGENA,575,645,7,13
38660,15,MATUTINO,INDêGENA,619,421,20,20
38661,15,MATUTINO,INDêGENA,587,485,6,6
38662,15,MATUTINO,INDêGENA,542,502,17,22
38663,15,MATUTINO,INDêGENA,627,633,7,8
