n   time     nv.vv
1 47.20001    NV
2 21.99998    NV
3 20.39999    NV
4 19.70001    NV
5 17.40000    NV
6 14.70000    NV
7 13.39999    NV
8 13.00000    NV
9 12.30000    NV
10 12.20001    NV
11 10.30000    NV
12  9.70000    NV
13  9.70000    NV
14  9.50000    NV
15  9.10000    NV
16  8.90000    NV
17  8.90000    NV
18  8.40000    NV
19  8.09999    NV
20  7.90000    NV
21  7.80000    NV
22  6.90000    NV
23  6.30000    NV
24  6.10000    NV
25  5.60000    NV
26  4.70000    NV
27  4.70000    NV
28  4.30000    NV
29  4.20000    NV
30  3.90000    NV
31  3.40000    NV
32  3.10000    NV
33  3.10000    NV
34  2.70000    NV
35  2.40000    NV
36  2.30000    NV
37  2.30000    NV
38  2.10000    NV
39  2.10000    NV
40  2.00000    NV
41  1.90000    NV
42  1.70000    NV
43  1.70000    NV
44 19.70001    VV
45 16.19998    VV
46 15.90000    VV
47 15.40002    VV
48  9.70000    VV
49  8.90000    VV
50  8.60000    VV
51  8.60000    VV
52  7.40000    VV
53  6.30000    VV
54  6.10000    VV
55  6.00000    VV
56  6.00000    VV
57  5.90000    VV
58  4.90000    VV
59  4.60000    VV
60  3.80000    VV
61  3.60000    VV
62  3.50000    VV
63  3.30000    VV
64  3.30000    VV
65  2.90000    VV
66  2.80000    VV
67  2.70000    VV
68  2.40000    VV
69  2.30000    VV
70  2.00000    VV
71  1.80000    VV
72  1.70000    VV
73  1.70000    VV
74  1.60000    VV
75  1.40000    VV
76  1.20000    VV
77  1.10000    VV
78  1.00000    VV
