Neighborhood,lat,long
Blmngtn,42.062806,-93.639963
Blueste,42.009408,-93.645543
BrDale,42.0525,-93.628821
BrkSide,42.03359,-93.627552
ClearCr,42.025425,-93.675741
CollgCr,42.021051,-93.685643
Crawfor,42.025949,-93.620215
Edwards,42.0228,-93.66304
Gilbert,42.027885,-93.615692
GrnHill,42.000854,-93.643377
IDOTRR,42.019208,-93.623401
Landmrk,42.044777,-93.646239
MeadowV,41.991866,-93.602441
Mitchel,42.031307,-93.626967
NAmes,42.042966,-93.613556
NoRidge,42.050307,-93.656045
NPkVill,42.050207,-93.625827
NridgHt,42.060356,-93.657107
NWAmes,42.051321,-93.633798
OldTown,42.028863,-93.615497
SWISU,42.017578,-93.651283
Sawyer,42.033611,-93.669348
SawyerW,42.03554,-93.685131
Somerst,42.052191,-93.643479
StoneBr,42.060752,-93.628955
Timber,41.998132,-93.648335
Veenker,42.040106,-93.657032
