cuenta_total,propina,fumador,dia,momento,num_personas
16.99,1.01,No,Dom,Cena,2
10.34,1.66,No,Dom,Cena,3
21.01,3.5,No,Dom,Cena,3
23.68,3.31,No,Dom,Cena,2
24.59,3.61,No,Dom,Cena,4
25.29,4.71,No,Dom,Cena,4
8.77,2,No,Dom,Cena,2
26.88,3.12,No,Dom,Cena,4
15.04,1.96,No,Dom,Cena,2
14.78,3.23,No,Dom,Cena,2
10.27,1.71,No,Dom,Cena,2
35.26,5,No,Dom,Cena,4
15.42,1.57,No,Dom,Cena,2
18.43,3,No,Dom,Cena,4
14.83,3.02,No,Dom,Cena,2
21.58,3.92,No,Dom,Cena,2
10.33,1.67,No,Dom,Cena,3
16.29,3.71,No,Dom,Cena,3
16.97,3.5,No,Dom,Cena,3
20.65,3.35,No,Sab,Cena,3
17.92,4.08,No,Sab,Cena,2
20.29,2.75,No,Sab,Cena,2
15.77,2.23,No,Sab,Cena,2
39.42,7.58,No,Sab,Cena,4
19.82,3.18,No,Sab,Cena,2
17.81,2.34,No,Sab,Cena,4
13.37,2,No,Sab,Cena,2
12.69,2,No,Sab,Cena,2
21.7,4.3,No,Sab,Cena,2
19.65,3,No,Sab,Cena,2
9.55,1.45,No,Sab,Cena,2
18.35,2.5,No,Sab,Cena,4
15.06,3,No,Sab,Cena,2
20.69,2.45,No,Sab,Cena,4
17.78,3.27,No,Sab,Cena,2
24.06,3.6,No,Sab,Cena,3
16.31,2,No,Sab,Cena,3
16.93,3.07,No,Sab,Cena,3
18.69,2.31,No,Sab,Cena,3
31.27,5,No,Sab,Cena,3
16.04,2.24,No,Sab,Cena,3
17.46,2.54,No,Dom,Cena,2
13.94,3.06,No,Dom,Cena,2
9.68,1.32,No,Dom,Cena,2
30.4,5.6,No,Dom,Cena,4
18.29,3,No,Dom,Cena,2
22.23,5,No,Dom,Cena,2
32.4,6,No,Dom,Cena,4
28.55,2.05,No,Dom,Cena,3
18.04,3,No,Dom,Cena,2
12.54,2.5,No,Dom,Cena,2
10.29,2.6,No,Dom,Cena,2
34.81,5.2,No,Dom,Cena,4
9.94,1.56,No,Dom,Cena,2
25.56,4.34,No,Dom,Cena,4
19.49,3.51,No,Dom,Cena,2
38.01,3,Si,Sab,Cena,4
26.41,1.5,No,Sab,Cena,2
11.24,1.76,Si,Sab,Cena,2
48.27,6.73,No,Sab,Cena,4
20.29,3.21,Si,Sab,Cena,2
13.81,2,Si,Sab,Cena,2
11.02,1.98,Si,Sab,Cena,2
18.29,3.76,Si,Sab,Cena,4
17.59,2.64,No,Sab,Cena,3
20.08,3.15,No,Sab,Cena,3
16.45,2.47,No,Sab,Cena,2
3.07,1,Si,Sab,Cena,1
20.23,2.01,No,Sab,Cena,2
15.01,2.09,Si,Sab,Cena,2
12.02,1.97,No,Sab,Cena,2
17.07,3,No,Sab,Cena,3
26.86,3.14,Si,Sab,Cena,2
25.28,5,Si,Sab,Cena,2
14.73,2.2,No,Sab,Cena,2
10.51,1.25,No,Sab,Cena,2
17.92,3.08,Si,Sab,Cena,2
27.2,4,No,Jue,Comida,4
22.76,3,No,Jue,Comida,2
17.29,2.71,No,Jue,Comida,2
