polling_id,stratum,edo_id,rural,pri_pvem,pan,panal,prd_pt_conv,psd,otros,total
74593,106,16,1,47,40,0,40,0,9,136
109927,194,27,0,131,10,0,147,1,8,297
112039,199,28,0,51,74,2,57,2,2,188
86392,141,20,1,145,64,2,139,1,14,365
101306,176,24,0,51,160,0,64,14,1,290
86044,140,20,1,150,20,0,166,1,11,348
56057,57,15,1,117,119,2,82,0,24,344
84186,128,19,0,118,205,8,73,9,13,426
27778,283,9,0,26,65,5,249,7,2,354
29892,289,9,0,27,32,0,338,14,7,418
66734,77,15,0,120,119,4,149,12,7,411
68280,82,15,0,47,41,1,187,7,9,292
85499,120,19,0,151,113,3,59,7,8,341
109525,193,27,1,175,21,1,122,3,7,329
128923,238,32,0,59,34,0,91,0,25,209
66724,77,15,0,83,85,2,173,10,11,364
65391,73,15,0,50,70,1,144,14,2,281
117710,223,30,1,184,120,1,89,0,17,411
105800,184,25,1,50,30,0,18,1,2,101
24781,276,9,0,21,107,0,213,6,7,354
115618,206,28,0,60,271,1,77,3,4,416
69704,86,15,1,45,15,0,43,0,6,109
88245,145,20,1,116,9,2,220,1,10,358
102070,177,24,1,156,197,0,39,1,38,431
56397,68,15,0,49,202,2,174,13,9,449
81693,123,19,0,98,120,7,53,12,6,296
91094,157,21,1,31,77,2,89,10,18,227
10711,257,7,1,63,69,2,91,0,25,250
25527,278,9,0,32,53,1,297,13,8,404
107189,187,26,0,79,182,2,38,7,5,313
114549,204,28,0,114,88,16,135,2,5,360
14814,256,7,0,72,66,1,222,9,6,376
68574,83,15,0,42,43,0,180,2,16,283
20318,285,9,0,38,57,4,300,11,8,418
100551,174,24,0,112,138,7,107,12,24,400
52566,41,14,0,114,144,9,111,7,6,391
97490,167,22,0,78,119,3,75,6,11,292
9,1,1,0,44,268,4,59,7,11,393
55463,47,14,1,46,138,21,33,4,6,248
128298,237,31,0,133,149,1,60,3,3,349
128483,238,32,0,27,158,4,143,20,20,372
50182,53,14,0,100,152,3,52,11,5,323
65505,74,15,0,68,51,4,154,13,9,299
77767,110,17,0,48,83,0,123,12,15,281
75270,108,16,0,86,61,0,143,5,9,304
43401,27,12,1,59,4,0,153,0,10,226
51415,56,14,0,120,169,7,93,12,12,413
74288,105,16,0,51,71,1,99,8,8,238
106122,185,25,0,53,111,1,115,15,17,312
120006,231,30,0,104,80,1,200,6,10,401
32358,4,10,1,41,84,0,9,0,1,135
107855,189,26,0,71,60,1,338,7,11,488
77118,109,17,0,21,176,6,115,24,4,346
88882,147,20,0,93,85,4,177,11,8,378
51985,39,14,0,84,197,4,63,15,11,374
23664,300,9,0,43,141,3,262,29,20,498
50499,54,14,0,94,178,4,79,13,15,383
121764,214,30,0,72,23,1,175,4,6,281
3128,133,2,0,45,132,5,59,6,4,251
45977,33,13,0,98,79,14,182,5,8,386
74076,105,16,0,68,166,1,113,2,12,362
24151,275,9,0,38,156,4,249,12,13,472
93104,163,21,0,62,142,5,101,7,7,324
72693,102,16,1,38,12,0,218,1,1,270
45973,33,13,1,104,20,1,110,0,6,241
22912,299,9,0,16,144,1,116,7,1,285
130631,241,32,1,162,18,1,50,4,10,245
45738,32,13,1,63,27,1,25,1,8,125
83925,128,19,1,15,67,0,2,0,2,86
110620,196,27,0,149,21,1,275,5,9,460
41920,24,12,0,42,22,0,101,1,1,167
8354,248,5,1,54,30,0,12,0,6,102
97351,166,22,0,65,199,4,130,8,11,417
5481,242,4,0,68,103,1,102,4,17,295
47531,37,13,1,85,28,1,49,0,8,171
43505,28,12,0,88,25,6,171,1,11,302
46522,34,13,0,70,106,8,163,7,11,365
58818,95,15,0,109,167,3,139,26,8,452
83713,128,19,0,94,162,3,64,7,13,343
24553,276,9,0,35,53,0,208,11,9,316
15922,266,8,0,66,63,3,50,8,13,203
44476,30,12,0,47,32,5,150,1,16,251
62451,65,15,0,38,105,2,185,16,4,350
25678,278,9,0,50,184,0,127,15,6,382
11878,259,7,0,82,55,0,80,3,9,229
85963,140,20,0,126,7,1,130,2,36,302
76544,99,16,0,58,64,4,140,6,7,279
80320,116,18,1,119,50,4,169,5,3,350
