stratum,n,N
1,20,369
2,23,420
3,24,440
4,31,570
5,29,528
6,37,664
7,26,474
8,21,373
9,25,457
10,24,430
11,22,408
12,24,432
13,25,450
14,21,374
15,25,458
16,25,452
17,26,480
18,26,469
19,24,437
20,26,473
21,24,443
22,31,559
23,33,596
24,29,523
25,27,495
26,25,462
27,28,502
28,25,460
29,25,459
30,23,424
31,23,419
32,29,529
33,27,489
34,20,383
35,23,425
36,22,393
37,23,418
38,24,438
39,21,377
40,23,422
41,22,401
42,26,469
43,23,425
44,24,437
45,22,401
46,25,453
47,27,481
48,27,482
49,23,422
50,24,444
51,21,376
52,25,448
53,22,406
54,18,332
55,27,488
56,22,408
57,21,382
58,23,418
59,22,403
60,24,436
61,23,422
62,21,386
63,24,443
64,23,425
65,22,404
66,23,417
67,23,421
68,20,362
69,20,367
70,20,359
71,21,390
72,21,377
73,19,350
74,18,333
75,21,374
76,20,370
77,21,379
78,22,408
79,19,343
80,22,404
81,22,394
82,18,333
83,23,420
84,23,409
85,20,365
86,24,454
87,19,346
88,21,389
89,19,344
90,23,425
91,19,340
92,23,411
93,22,403
94,25,454
95,18,321
96,20,372
97,23,423
98,24,435
99,26,474
100,24,444
101,28,503
102,23,419
103,27,498
104,27,483
105,25,446
106,26,478
107,22,392
108,24,432
109,25,457
110,22,397
111,23,412
112,22,407
113,22,394
114,26,479
115,24,430
116,27,486
117,24,433
118,22,391
119,22,398
120,29,521
121,19,340
122,25,452
123,25,450
124,18,333
125,20,365
126,26,467
127,23,413
128,28,503
129,22,392
130,25,451
131,23,417
132,22,408
133,26,473
134,30,538
135,24,433
136,24,439
137,21,382
138,20,368
139,21,390
140,19,351
141,26,467
142,24,431
143,21,382
144,25,453
145,24,428
146,24,428
147,22,404
148,23,413
149,20,356
150,23,414
151,24,430
152,21,379
153,22,403
154,18,331
155,18,328
156,20,366
157,21,374
158,21,377
159,20,356
160,24,432
161,17,319
162,18,323
163,24,436
164,26,465
165,24,435
166,25,453
167,25,454
168,22,391
169,21,386
170,21,377
171,27,482
172,23,411
173,27,498
174,23,421
175,24,437
176,22,405
177,24,440
178,37,665
179,30,547
180,31,571
181,26,465
182,32,584
183,27,490
184,28,501
185,26,477
186,24,436
187,25,452
188,20,376
189,25,457
190,21,390
191,26,471
192,24,429
193,22,394
194,21,375
195,22,401
196,23,416
197,21,390
198,24,432
199,29,518
200,28,516
201,32,589
202,27,484
203,26,470
204,29,520
205,24,435
206,24,439
207,25,445
208,22,396
209,23,414
210,18,330
211,18,334
212,24,429
213,25,454
214,26,463
215,24,437
216,25,445
217,24,437
218,25,460
219,24,442
220,29,520
221,22,405
222,23,421
223,25,452
224,23,414
225,23,418
226,23,410
227,22,407
228,23,417
229,22,395
230,24,442
231,27,495
232,23,422
233,22,403
234,23,426
235,25,457
236,25,455
237,23,416
238,30,550
239,42,761
240,31,569
241,29,518
242,26,477
243,25,452
244,24,428
245,28,517
246,28,514
247,20,355
248,27,490
249,23,415
250,21,375
251,22,404
252,20,358
253,23,426
254,21,390
255,23,420
256,20,366
257,20,370
258,26,467
259,22,398
260,21,377
261,21,388
262,21,373
263,22,395
264,23,414
265,28,504
266,24,441
267,26,469
268,24,441
269,33,602
270,29,526
271,37,667
272,27,497
273,33,595
274,21,375
275,30,553
276,24,433
277,28,502
278,24,428
279,21,382
280,32,576
281,27,488
282,27,481
283,23,416
284,21,386
285,28,509
286,27,485
287,20,365
288,22,393
289,26,463
290,26,473
291,22,404
292,28,524
293,20,366
294,27,488
295,23,412
296,23,425
297,25,452
298,26,472
299,29,531
300,25,453
