period,sales.kg
1,685.537
2,768.234
3,894.643
4,773.501
5,954.6
6,852.853
7,851.082
8,798.745
9,972.928
10,824.287
11,887.167
12,811.241
13,887.554
14,976.519
15,913.323
16,915.869
17,831.612
18,1040.421
19,797.394
20,1062.304
21,969.495
22,1258.596
23,969.413
24,933.145
25,925.393
26,982.814
27,1010.309
28,977.329
29,987.988
30,918.484
31,1084.929
32,918.807
33,1087.361
34,927.589
35,1037.083
36,935.128
37,842.872
38,958.85
39,949.104
40,1049.499
41,874.395
42,988.871
43,832.601
44,1015.238
45,934.386
46,1006.776
47,814.034
48,885.641
49,1046.161
50,1176.648
51,1043.851
52,850.63
53,978.652
54,1030.837
55,1172.393
56,1004.563
57,1220.901
58,1154.947
59,1130.629
60,1089.419
61,1225.007
62,1173.199
63,1180.962
64,1052.103
65,1170.298
66,1255.105
67,1017.6
68,1102.01
69,1089.804
70,1224.843
71,1056.649
72,1299.342
73,1117.151
74,1355.08
75,1242.781
76,1200.935
77,1182.227
78,1217.914
79,1358.36
80,1220.912
81,1351.225
82,1173.464
83,1521.733
84,1264.303
85,1497.617
86,1298.875
87,1370.623
88,1341.836
89,1162.551
90,1258.343
91,1110.77
92,1408.6
93,1191.688
94,1294.593
95,1047.853
96,1268.509
97,1258.154
98,1237.189
99,1066.51
100,1181.925
101,1123.091
102,1021.28
103,1040.848
104,870.449
105,1122.432
106,1249.102
107,1137.206
108,1406.359
109,1277.694
110,1292.732
111,1221.374
112,1388.45
113,1424.885
114,1299.284
115,1387.266
116,1214.143
117,1453.795
118,1182.991
119,1471.267
120,1253.385
121,1394.243
122,1230.455
123,1323.614
124,1250.111
125,1373.45
126,1502.75
127,1229.258
128,1405.835
129,1296.959
130,1606.736
131,1294.362
132,1412.595
133,1232.555
134,1477.192
135,1398.211
136,1413.714
137,1404.403
138,1296.57
139,1531.689
140,1217.642
141,1294.762
142,1145.832
143,1484.425
144,1266.021
145,1338.546
146,1182.353
147,1186.112
148,1260.459
149,1142.819
150,1137.612
151,1060.344
152,1319.833
153,1066.076
154,1165.943
155,958.471
156,1015.851
157,1222.949
158,1355.221
159,1208.474
160,1255.626
161,1363.336
162,1153.204
163,1254.329
164,1210.281
165,1452.206
166,1163.396
167,1249.247
168,1142.201
169,1519.652
170,1340.341
171,1394.938
172,1201.78
173,1307.709
174,1293.007
175,1302.206
176,1246.992
177,1232.973
178,1522.092
179,1205.71
180,1353.595
181,1319.845
182,1613.722
183,1389.07
184,1488.207
185,1286.221
186,1479.724
187,1513.679
188,1382.497
189,1591.254
190,1291.376
191,1646.296
192,1286.175
193,1353.075
194,1234.836
195,1463.056
196,1383.212
197,1396.041
198,1255.695
199,1221.145
200,1308.421
201,1170.288
202,1276.112
203,1060.092
204,1320.962
205,1086.432
206,1161.755
207,952.529
208,1029.994
209,1319.245
210,1366.226
211,1273.89
212,1254.052
213,1428.28
214,1324.65
215,1375.69
216,1250.214
217,1577.877
218,1293.397
219,1389.579
220,1287.789
221,1493.353
222,1332.874
223,1347.108
224,1351.521
225,1324.508
226,1471.545
227,1231.977
228,1443.189
229,1254.298
230,1614.053
231,1314.646
232,1395.603
233,1468.453
234,1601.195
235,1408.57
236,1517.355
237,1408.848
238,1487.646
239,1583.252
240,1338.887
241,1700.287
242,1384.766
243,1602.74
244,1399.717
245,1406.673
246,1318.571
247,1488.817
248,1428.098
249,1433.067
250,1280.895
251,1175.816
252,1356.271
253,1190.387
254,1280.115
255,1111.957
256,1295.583
257,1100.332
258,1154.962
259,1051.937
260,1019.339
